Date,Year,Paddock,Territory,Nest_ID,Egg_ID,Length,Width,Hatch_order,Toenail,Band_Combo,Band_Number,Shield to Tip,Tarsus,Mass,Blood,Comments,
10-Oct-08,2008,CGWW,SYN,J,J1,53.96,36.24,3,TN3,,M-66645(R),21.40,23.41,26,,"Likely TN3, DIED",
10-Oct-08,2008,ABSD,SPC,H,H5,54.25,34.66,,,,M-66640(R),22.31,27.80,51,,,
11-Oct-08,2008,CWN,SSE,AF,AF7,,,,,RED(1),M-66631(L),21.64,27.22,28,,,
12-Oct-08,2008,CWN,SYN,J,J3,56.12,36.14,5,TN5,,,,21.18,31,,,
13-Oct-08,2008,CRW,CRW,AG,AG7,,,,,,M-66867(R),21.26,23.59,26,,,
14-Oct-08,2008,NPSW,LS,S,S4,,,,,G(1ft),M-66857(R),22.11,46.73,27,,2ND CATCHING,
15-Oct-08,2008,HW,HW,Y,Y3,52.28,36.78,1,TN1,blue left,M-66870(R),20.93,22.17,44,,,
16-Oct-08,2008,HW,CRW,AC,AC3,51.00,36.00,3,TN3,,M-66856,25.94,22.06,68,,,
16-Oct-08,2008,NPNC,HW,Y,Y1,51.07,36.86,3,TN3,,M-66861,20.86,22.25,25,,Likely TN3,
16-Oct-08,2008,ABSD,CG1,Y,Y2,53.63,37.26,4,TN4,,M-66863,19.31,22.33,29,,,
17-Oct-08,2008,HSSE,CRW,AC,AC4,52.06,35.89,2,TN2,,M-66851(1),21.35,22.49,26,,,
17-Oct-08,2008,LS,CRW,AC,AC2,54.21,35.04,3,TN3,,M-66862(R),20.29,22.67,26,,DIED,
20-Oct-08,2008,LWE,SYNW,V,V1,51.65,35.07,1,TN1,YELLOW(1),M-66875(R),21.92,22.49,21,,,
20-Oct-08,2008,NPSW,SYNW,V,V5,54.81,36.77,3,TN2,,,20.32,21.00,26,,SEEMS TO HAVE DISAPPEARED,
21-Oct-08,2008,HSSE,SYNW,V,V4,49.90,35.81,3,TN1+2,GREEN(R),M-66872(1),20.95,22.22,18,,Likely meant to be TN3,
21-Oct-08,2008,CG1,CRW,AC,AC1,52.31,36.03,4,TN4,,M-66877,22.29,21.34,520,,RETURNED,
21-Oct-08,2008,NPSW,SYNW,V,V8,,,6,TN6,BLUE,M-6868(1),21.89,22.80,26,,,
22-Oct-08,2008,CRS,SYNW-V,V,V7,,,7,TN7,,M-66620,20.81,22.28,101,,"CLIPPED OF 7 TOE NAILS, mass marked as 110 - 5 - 4 likely mass minus bag and aminus bands",
26-Oct-08,2008,SYIC,HSSE,BC,BC7,50.21,34.61,3,TN3,,,20.29,20.95,21,,,
31-Oct-08,2008,SYN,HWN,ATC,ATC2,,,3,TN3,,,21.67,21.55,23,,,
01-Nov-08,2008,HSSE,HWN,AR,AR3,52.87,36.87,4,TN4,,,19.67,22.92,23,,found dead 2 Nov,
05-Nov-08,2008,SSE,CWN,AC,AC9,,,1,TN1,BLUE (1),m-66837(R),22.43,22.95,30,,,
05-Nov-08,2008,CW,CWN,AC,AC6,,,2,TN2,GREEN(R),M-66833(1),22.68,20.88,29,,,
05-Nov-08,2008,CWN,CGWW,AW,AW3,55.27,38.40,3,TN3,,M-66800(R),21.98,22.38,29,,,
06-Nov-08,2008,CW,CWN,AK,AK5,54.09,38.67,3,TN3,WHITE(1),M-66795(R),21.98,22.38,28,,,
06-Nov-08,2008,HWN,CWN,AK,AK1,53.49,37.39,4,TN4,WHITE(R),M-66835(1),21.47,22.52,124.5,,,
07-Nov-08,2008,CRS,CWN,AK,AK8,53.23,38.04,5,TN5,YELLOW(1),M-66832(R),22.90,22.15,32,,,
07-Nov-08,2008,HSSE,CWN,AK,AK3,53.34,39.41,6,TN6,RED(R),M-66794(1),22.28,23.26,31,,,
08-Nov-08,2008,HSSE,CWN,AK,AK7,54.27,39.25,7,TN7,,M-66838(R),20.89,21.03,27,,,
11-Nov-08,2008,CWSW,CWN,AY,AY3,52.88,38.27,1,TN1,BLUE (1),M-66839(R),21.61,22.70,27,,,
12-Nov-08,2008,CRW,CW,AY,AY1,54.15,38.17,2,TN2,,M-66849(R),21.55,23.03,26,,,
14-Nov-08,2008,SYNW,CW,AY,AY4,54.15,35.74,3,TN3,,M-66843(1),19.96,22.13,27,,FOUNF BEND IN NEST 18TH NOV,
19-Nov-08,2008,SYNW,LWE,AS,AS4,53.54,36.72,2,TN2,RED(1),M-66850(R),21.89,22.36,21,,,
22-Nov-08,2008,SYNW,RFCS,AQ,AQ1,,,1,TN1,,,20.14,20.56,24,,,
23-Nov-08,2008,NPSW,RFCS,AQ,AQ2,50.47,35.58,2,TN2,,,22.22,22.89,23,,DEAD IN NEST 25TH NOV,
23-Nov-08,2008,HSSE,RFCS,AQ,AQ3,50.18,34.50,3,TN3,,,19.77,20.60,23,,,
25-Nov-08,2008,SYIC,HSSE,BC,BC2,47.11,33.49,1,TN1,,,20.28,19.53,,,,
25-Nov-08,2008,CRS,RFCS,AQ,AQ4,50.69,34.35,4,TN4,,,20.16,20.89,,,,
26-Nov-08,2008,SYIC,HSSE,BC,BC4,51.00,33.84,2,TN2,,M-66846 (l),20.67,22.39,24,,,
26-Nov-08,2008,CWN,HSSE,BC,BC1,49.68,34.43,4,TN4,,,21.52,19.78,23,,,
26-Nov-08,2008,HWN,RFCS,AQ,AQ4,50.69,34.35,4,TN4,,,20.10,22.28,24,,PROCESSED AGAIN TODAY IN CASE RESULTS DUPLICATED,
27-Nov-08,2008,RFCS,HSSE,BC,BC5,49.44,35.51,5,TN5,BLUE,M-66802(r),21.06,21.96,95,,,
29-Nov-08,2008,SYNW,HSSE,BC,BC8,55.07,37.37,6,TN6,,M-66804(l),20.85,20.89,27,,,
30-Nov-08,2008,NPSW,HSSE,BC,BC6,55.49,36.61,7,TN7,,M-66801(r),21.32,21.59,25,,,
09-Dec-08,2008,RFCS,ABSD,BE,BE4,51.60,37.91,3,TN3,,M-66808(r),20.40,22.85,26,,,
09-Dec-08,2008,CSF,ABSD,BE,BE3,51.60,37.65,4,TN4,,,21.59,22.15,27,,,
11-Dec-08,2008,SYN,ABSD,BE,BE2,53.70,37.26,5,TN5,,,20.65,21.23,46,,,
21-Dec-08,2008,CWN,SY1 C,BJ,BJ1,52.51,36.11,1,TN1,YELLOW (L),M-66848(r),20.21,21.66,47,,,
21-Dec-08,2008,RFCS,SY1 C,BJ,BJ5,50.48,36.30,2,TN2,,M-66831(l),20.15,21.71,24,,,
24-Dec-08,2008,HW,SY1 C,BJ,BJ4,51.16,36.71,3,TN3,,M-66840(r),20.86,20.36,179,,,
31-Dec-08,2008,CRW,NPSW,BR,BR1,50.54,33.98,1,TN1,,,21.89,20.42,23,,,
31-Dec-08,2008,NPSW,SYNW,BK,BK3,51.06,36.61,1,TN1,WHITE(l),M-6684(r),20.71,21.69,24,,,
31-Dec-08,2008,SYNW,SYNW,BK,BK1,48.75,35.89,2,TN2,,M-66946(l),20.11,20.59,22,,INNER TARSUS?,
31-Dec-08,2008,SYNW,NPSW,BR,BR3,46.93,34.65,2,TN2,GREEN(r),M-66948(l),21.57,20.50,22,,,
31-Dec-08,2008,ABSD,NPSW,BR,BR2,51.44,35.16,3,TN3,,,21.25,20.13,26,,,
01-Jan-09,2008,NPNC,CWSW,BO,BO5,51.26,37.24,1,TN1,,,21.71,20.17,25,,DIED CRUSHED IN NEST,
01-Jan-09,2008,RFCS,SYNW,BK,BK2?,50.82,36.79,4,TN4,GREEN(r),M-66941(l),19.77,22.03,25,,,
01-Jan-09,2009,HSSE,SYNW,BK,BK7,51.67,36.28,5,TN5,GREEN(l),,21.10,21.95,26,, (swollen) LEG,
02-Jan-09,2009,SYNW-V,NPSW,BR,BR4,50.55,36.53,7,TN7,BLACK(l),M-66943(r),22.09,22.10,24,,,
02-Jan-09,2009,SPC,NPSW,BR,BR7,52.72,36.31,6,TN6,YELLO(r),M-66949(l),21.90,22.67,26,,,
03-Jan-09,2009,CWN,SYNW,BK,BK8,53.91,36.77,8,TN8,Blue(R),,20.99,23.52,25,,,
03-Jan-09,2009,SYNW,NPSW,BR,BR10,51.21,35.49,8,TN8,,M-66942(l),22.02,20.80,27,,,
03-Jan-09,2009,NPSW,NPSW,BR,BR9,53.78,37.04,9,TN1+8,,,21.69,20.67,24,,Likely 9th to hatch,
04-Jan-09,2009,NPSW,CWSW,BO,BO3,51.16,37.17,9,TN1+8,,,20.63,20.55,27,,Likely 9th to hatch,
